order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
Axfy13Hk4PIk,hCT0x9JiGXBQ,delivered,2017-10-22 18:57:54,2017-10-22 19:14:13,2017-10-26 22:19:52,2017-11-09
v6px92oS8cLG,PxA7fv9spyhx,delivered,2018-06-20 21:40:31,2018-06-20 22:20:20,2018-07-03 22:51:22,2018-07-24
Ulpf9skrhjfm,g3nXeJkGI0Qw,delivered,2018-02-16 16:19:31,2018-02-17 16:15:35,2018-02-27 01:29:50,2018-03-08
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19
Dd0QnrMk9Cj5,mVz5LO2Vd6cL,delivered,2017-12-22 16:44:04,2017-12-22 17:31:31,2018-01-05 19:22:49,2018-01-18
VjTVGzqe8U6R,UkqnhxmX7YMP,delivered,2017-09-01 14:38:16,2017-09-01 14:50:24,2017-09-15 18:57:50,2017-09-26
xNba906m4TM1,85jiDiGSfhTu,delivered,2018-04-23 21:03:00,2018-04-24 18:18:18,2018-04-25 20:14:38,2018-05-04
VEDSMTavbQwk,gDdkaN8b9s1g,delivered,2018-02-23 14:49:39,2018-02-23 15:16:13,2018-04-02 14:12:50,2018-03-15
DzNM8wrcMGFH,9Csx6oXlpLl1,delivered,2017-11-24 19:12:37,2017-11-25 04:54:03,2017-12-11 13:09:32,2017-12-14
NpJz7zF9U1ae,gZTPKLPRnreg,delivered,2017-11-30 11:48:21,2017-11-30 13:31:19,2017-12-14 16:38:47,2018-01-03
mHyhzcUeLGj2,TDEBQrhIwApB,delivered,2018-04-02 22:39:59,2018-04-03 22:35:18,2018-04-13 18:12:30,2018-04-23
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05
Q97dFuo1kaq9,IfWKDQHkjLDd,delivered,2018-04-10 00:17:56,2018-04-10 00:35:11,2018-04-20 18:03:58,2018-05-04
07j6mlMhSVtx,kZ0rkJCJ6N5y,delivered,2018-05-02 22:52:10,2018-05-03 00:13:21,2018-05-09 23:48:32,2018-05-18
kxa1InBj9gwP,zsCKIdqYLV01,delivered,2017-04-24 20:06:41,2017-04-24 20:22:24,2017-05-05 10:22:27,2017-05-25
P5R6jr1qZdh4,FrEvnEiMKGpr,canceled,2017-07-24 11:38:43,2017-07-24 11:50:18,,2017-08-07
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11
j5rwgECNf14O,bUornDCZmRD4,delivered,2018-03-15 11:13:23,2018-03-15 11:29:14,2018-04-09 18:54:36,2018-04-03
43It0OEHVyJe,qEVfsXFU3er9,delivered,2017-03-05 16:10:01,2017-03-05 16:25:11,2017-04-18 15:28:21,2017-04-06
ddXx4T93MeaI,mPg90mQwmDOP,delivered,2017-10-03 12:58:11,2017-10-03 13:07:28,2017-10-09 14:06:32,2017-10-30
NXDsEGbl1pUC,v6GelvnCrAk5,delivered,2018-04-02 00:31:04,2018-04-02 00:47:44,2018-04-06 20:53:33,2018-04-18
MhDudBaAab78,lZ0pUFQvjZNA,delivered,2017-08-16 19:36:38,2017-08-18 02:35:25,2017-08-24 21:47:56,2017-09-05
XupzjrovQeez,ckZATUjYdFd3,delivered,2017-06-21 16:41:10,2017-06-22 02:45:18,2017-06-29 12:43:45,2017-07-04
YTztQOHlvuBg,GuxDt46GwQEd,delivered,2017-07-02 21:10:38,2017-07-02 21:25:15,2017-07-13 19:19:52,2017-07-27
xfXLgLbCo5BC,SPV4UclettEh,delivered,2018-02-18 12:03:25,2018-02-18 12:10:25,2018-02-28 20:06:27,2018-03-13
gVMP1bPDg69L,GpdbWoJi61Qc,delivered,2017-12-30 02:36:20,2018-01-04 23:17:35,2018-01-23 20:28:38,2018-02-05
9G9EHbafs7NW,KD8KlSTtIm3Z,delivered,2018-07-18 18:42:47,2018-07-18 18:55:28,2018-08-03 14:43:03,2018-08-13
